Date, Close/Last, Volume, Open, High, Low
11/22/2019, $55.69, 2061874, $55.33, $55.985, $55.25
11/21/2019, $55.17, 2301257, $55.42, $55.62, $54.86
11/20/2019, $55.41, 2686359, $55.31, $55.805, $55.0885
11/19/2019, $55.68, 2136958, $56.24, $56.37, $55.65
11/18/2019, $56.01, 2719880, $56.14, $56.69, $55.81
11/15/2019, $56.24, 3373295, $54.93, $56.27, $54.75
11/14/2019, $54.75, 4312294, $54.85, $55.33, $54.59
11/13/2019, $54.79, 3394026, $53.81, $54.94, $53.54
11/12/2019, $54.03, 3432944, $53.64, $54.19, $53.5325
11/11/2019, $53.68, 3544756, $53.2, $53.72, $52.82
11/08/2019, $53.75, 3366277, $52.95, $53.86, $52.3
11/07/2019, $53.2, 4773736, $54.24, $54.76, $52.69
11/06/2019, $51.43, 3042471, $51.49, $51.96, $51.01
11/05/2019, $51.5, 3111911, $52, $52.72, $51.47
11/04/2019, $51.74, 2398273, $50.65, $51.885, $50.5
11/01/2019, $50.44, 2035462, $49.75, $50.9, $49.46
10/31/2019, $49.45, 3952889, $49.88, $50.16, $49.07
10/30/2019, $50.16, 2807661, $50.48, $50.78, $49.37
10/29/2019, $51.23, 2313389, $50.14, $51.505, $49.82
10/28/2019, $50.28, 1382705, $50.04, $50.57, $49.97
10/25/2019, $50.05, 1933447, $49.7, $50.2, $49.15
10/24/2019, $49.69, 2072088, $50.17, $50.2499, $49.14
10/23/2019, $50.02, 2095443, $50.43, $50.72, $49.71
10/22/2019, $50.74, 1969230, $50.49, $50.78, $49.73
10/21/2019, $50.41, 4717586, $51.13, $51.48, $49.15
10/18/2019, $51.54, 3665478, $51.07, $51.67, $50.74
10/17/2019, $51.21, 4512064, $49.19, $51.36, $49.185
10/16/2019, $49.07, 5943173, $49.11, $50.99, $48.3
10/15/2019, $47.9, 1890158, $47.25, $47.97, $47.03
10/14/2019, $46.78, 1466863, $46.76, $46.99, $46.48
10/11/2019, $46.92, 2044053, $46.72, $47.55, $46.72
10/10/2019, $46.05, 2432673, $45.3, $46.71, $45.3
10/09/2019, $45.3, 1942103, $45.26, $45.51, $45.16
10/08/2019, $44.96, 1971180, $45.27, $45.48, $44.68
10/07/2019, $45.6, 1857598, $46.09, $46.115, $45.3992
10/04/2019, $46.07, 1866969, $45.88, $46.18, $45.34
10/03/2019, $45.81, 2516774, $45.59, $45.9, $44.8
10/02/2019, $45.76, 3253515, $46.89, $47.07, $45.66
10/01/2019, $47.28, 2497733, $47.51, $48.39, $47.06
09/30/2019, $47.19, 2461200, $47, $47.42, $46.9636
09/27/2019, $47.57, 3159278, $47.55, $47.7, $46.9
09/26/2019, $47.3, 2018094, $47.66, $48.18, $46.51
09/25/2019, $47.67, 2560800, $46.96, $47.875, $46.68
09/24/2019, $47.06, 2446492, $47.31, $47.78, $46.75
09/23/2019, $47.17, 2361003, $47.7, $47.89, $46.56
09/20/2019, $47.89, 5791168, $48.24, $49.09, $47.62
09/19/2019, $48.02, 2009247, $48.05, $48.31, $47.73
09/18/2019, $47.88, 2463812, $48.17, $48.2, $47.61
09/17/2019, $48.26, 2226936, $49.05, $49.1, $48.22
09/16/2019, $48.91, 1989518, $47.5, $48.98, $47.35
09/13/2019, $48.22, 2076975, $48.66, $49.06, $47.83
09/12/2019, $48.48, 2486409, $49, $49.19, $47.91
09/11/2019, $48.88, 3009847, $48.04, $48.92, $47.4244
09/10/2019, $47.95, 3966010, $46.65, $48.02, $46.36
09/09/2019, $46.82, 3392571, $45.32, $46.9, $45.32
09/06/2019, $45.43, 1908293, $44.51, $45.5524, $44.44
09/05/2019, $44.38, 3069106, $44.79, $45.31, $44.3
09/04/2019, $44.35, 2608506, $43.84, $44.385, $43.53
09/03/2019, $43.3, 3418731, $42.76, $43.4, $42.13
08/30/2019, $43.13, 3234266, $42.43, $43.48, $42.43
08/29/2019, $42.27, 2957163, $42.18, $42.58, $41.85
08/28/2019, $41.74, 3283923, $41.74, $42.08, $41.25
08/27/2019, $41.93, 4309100, $43.36, $43.8, $41.83
08/26/2019, $43.83, 2280381, $43.22, $44.1, $43.22
08/23/2019, $42.79, 2863163, $43.54, $44.35, $42.55
08/22/2019, $43.76, 2637567, $43.87, $44.485, $43.71
08/21/2019, $43.57, 2140323, $43.42, $44.31, $43.2
08/20/2019, $43.76, 2541928, $44.08, $44.51, $43.65
08/19/2019, $43.48, 1661414, $43.64, $44.04, $43.36
08/16/2019, $43.19, 1924641, $42.21, $43.32, $42.13
08/15/2019, $42, 2113393, $42.54, $42.74, $41.91
08/14/2019, $42.41, 3352775, $44.1, $44.18, $42.38
08/13/2019, $44.67, 2164107, $43.97, $45.32, $43.56
08/12/2019, $43.78, 1813949, $44.2, $44.54, $43.63
08/09/2019, $44.35, 2061650, $43.92, $44.68, $43.51
08/08/2019, $43.89, 4805575, $43.64, $44.27, $42.35
08/07/2019, $42.75, 6580512, $42.38, $42.84, $41.03
08/06/2019, $42.92, 5465289, $45.48, $46.18, $42.05
08/05/2019, $45.55, 3769086, $45.75, $46.63, $45.22
08/02/2019, $46.11, 2157892, $46.44, $46.825, $45.26
08/01/2019, $46.67, 4735366, $46.5, $47.495, $46.35
07/31/2019, $45.73, 6371183, $46.31, $46.53, $45.29
07/30/2019, $46.41, 2797299, $45.43, $46.77, $45.09
07/29/2019, $45.81, 1825599, $45.19, $45.8785, $45.12
07/26/2019, $45.12, 1472249, $45.07, $45.31, $44.88
07/25/2019, $44.91, 2888671, $44.84, $45.8, $44.66
07/24/2019, $44.75, 4842695, $44.49, $44.89, $44.21
07/23/2019, $44.4, 2678094, $44.66, $44.72, $43.98
07/22/2019, $44.53, 1663962, $45.14, $45.4047, $44.3902
07/19/2019, $44.99, 1385758, $45.25, $45.35, $44.73
07/18/2019, $45.19, 1998336, $44.8, $45.38, $44.41
07/17/2019, $45.07, 3211509, $46.5, $46.5, $44.915
07/16/2019, $46.79, 3525333, $47.18, $47.25, $46.09
07/15/2019, $47.5, 2114774, $47.59, $47.81, $47.07
07/12/2019, $47.59, 2413087, $48.08, $48.31, $47.06
07/11/2019, $48.26, 2952473, $49.05, $49.97, $47.87
07/10/2019, $47.46, 1882136, $47.43, $47.65, $46.87
07/09/2019, $47.2, 1970705, $47.17, $47.77, $46.84
07/08/2019, $47.49, 3798757, $47.75, $47.755, $46.3
07/05/2019, $48.23, 2244639, $47.74, $48.875, $47.54
07/03/2019, $48, 1949758, $47.67, $48.9, $47.443
07/02/2019, $47.17, 1795443, $47.5, $47.5, $46.685
07/01/2019, $47.56, 2983061, $47.43, $47.94, $47.13
06/28/2019, $47.1, 2720463, $46.29, $47.17, $46.01
06/27/2019, $46.61, 2649433, $45.63, $46.67, $45.54
06/26/2019, $45.63, 2738092, $45.78, $45.895, $45.16
06/25/2019, $45.75, 2753086, $45.21, $46.12, $44.83
06/24/2019, $45.01, 2642149, $44.8, $45.02, $44.26
06/21/2019, $44.7, 4091845, $44.76, $44.99, $44.36
06/20/2019, $44.77, 2082792, $45.7, $45.81, $44.35
06/19/2019, $45.04, 2121305, $44.81, $45.49, $44.8
06/18/2019, $44.54, 2253953, $44.78, $45.32, $44.355
06/17/2019, $44.46, 2183712, $44.41, $44.74, $43.98
06/14/2019, $44.16, 1732516, $45.25, $45.25, $44.1
06/13/2019, $45.27, 2028982, $44.22, $45.3, $44.21
06/12/2019, $44.22, 1705588, $44.44, $44.73, $43.97
06/11/2019, $44.64, 2914810, $44.52, $45.32, $44.34
06/10/2019, $44, 2310133, $43.94, $44.8, $43.7642
06/07/2019, $43.85, 2290887, $43.15, $44.11, $42.95
06/06/2019, $42.79, 2748890, $43.2, $43.265, $42.38
06/05/2019, $43.3, 2639133, $44.37, $44.43, $43.18
06/04/2019, $43.95, 2728472, $43.55, $44.16, $43.36
06/03/2019, $42.92, 2531753, $42.08, $43.19, $42.01
05/31/2019, $42.07, 3134225, $42.46, $42.71, $42.02
05/30/2019, $42.93, 2552714, $43.57, $43.84, $42.47
05/29/2019, $43.68, 3058801, $45.39, $45.39, $43.51
05/28/2019, $45.48, 1727240, $45.94, $46.51, $45.43
05/24/2019, $45.95, 1173371, $45.99, $46.375, $45.59
05/23/2019, $45.91, 2021114, $46.47, $46.55, $45.63
05/22/2019, $46.84, 1986689, $46.79, $46.94, $46.285
05/21/2019, $46.9, 3570198, $46.26, $47.355, $46.2
05/20/2019, $45.98, 3667065, $44.82, $46.08, $44.71
05/17/2019, $45.03, 3068131, $44.92, $46.21, $44.8
05/16/2019, $45.23, 2880209, $46.2, $46.57, $45.065
05/15/2019, $46.18, 2170909, $45.84, $46.335, $45.2
05/14/2019, $46.1, 3479389, $46.21, $46.74, $45.96
05/13/2019, $46.07, 4349060, $48, $48, $45.92
05/10/2019, $48.85, 3291100, $50.24, $50.77, $47.925
05/09/2019, $50.14, 5154280, $48.05, $50.4, $47.24
05/08/2019, $49.71, 3866561, $49.14, $50.02, $48.42
05/07/2019, $48.94, 4987336, $49.14, $49.63, $48.66
05/06/2019, $49.44, 3188143, $48.79, $49.53, $48.17
05/03/2019, $49.56, 3512106, $48.86, $49.89, $48.81
05/02/2019, $48.74, 2707356, $47.75, $48.905, $47.75
05/01/2019, $47.6, 3044494, $48.7, $48.72, $47.48
04/30/2019, $48.71, 6961689, $48, $48.76, $47.26
