Date, Close/Last, Volume, Open, High, Low
11/22/2019, 53.2, 230141, 53.04, 53.2657, 52.81
11/21/2019, 52.77, 176855, 53.02, 53.03, 52.5828
11/20/2019, 53, 522100, 53.14, 53.2465, 52.41
11/19/2019, 53.38, 288765, 54, 54, 53.23
11/18/2019, 53.81, 167305, 53.7, 53.8144, 53.54
11/15/2019, 53.65, 190193, 53.19, 53.66, 53.12
11/14/2019, 52.82, 216095, 52.76, 52.86, 52.4
11/13/2019, 52.8, 219364, 52.1, 52.861, 52.05
11/12/2019, 52.47, 244530, 52.53, 52.74, 52.24
11/11/2019, 52.42, 184024, 51.93, 52.53, 51.7864
11/08/2019, 52.39, 229955, 52.47, 52.48, 52.03
11/07/2019, 52.42, 319549, 52.24, 52.77, 52.155
11/06/2019, 51.56, 276603, 51.64, 51.72, 51.27
11/05/2019, 51.56, 335881, 51.73, 51.84, 51.44
11/04/2019, 51.46, 286481, 51.54, 51.67, 51.27
11/01/2019, 51.02, 302112, 50.5, 51.02, 50.3501
10/31/2019, 49.96, 488414, 50.4, 50.42, 49.4752
10/30/2019, 50.53, 528405, 50.17, 50.54, 49.8
10/29/2019, 50.13, 452659, 50.01, 50.41, 49.9432
10/28/2019, 50.11, 255818, 50.09, 50.41, 49.91
10/25/2019, 49.64, 341087, 49.03, 49.86, 49
10/24/2019, 49.12, 389553, 49.51, 49.53, 48.7632
10/23/2019, 49.2, 242259, 49.19, 49.44, 48.89
10/22/2019, 49.1, 403529, 49.33, 49.63, 49.04
10/21/2019, 49.22, 233610, 49.18, 49.25, 48.92
10/18/2019, 49.01, 487980, 49.7, 49.8863, 49
10/17/2019, 49.96, 222158, 50.08, 50.23, 49.72
10/16/2019, 49.83, 158929, 49.77, 50.02, 49.61
10/15/2019, 49.92, 254734, 49.46, 50.2599, 49.43
10/14/2019, 49.02, 214615, 48.96, 49.37, 48.8902
10/11/2019, 49.14, 706685, 49.05, 49.8781, 48.965
10/10/2019, 48.03, 462785, 47.36, 48.39, 47.35
